"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @Dody_Lukas___: PART I

<U+0001F60E><U+0001F449> Tak rela Tauhid dihina, pria Aceh ini tantang Banser adu kebal, Berani gk ya si Ikan Buntel @GPAnsor_Satu  Ng<U+2026>",FALSE,0,NA,2018-10-30 04:42:03,FALSE,NA,"1057130488962273280",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TakuyaEnoki",62,TRUE,FALSE,NA,NA
"2","RT @RestyCayah: Hoax ! 
Ini bukan Polisi ato Tentara . Ini cuma curut2 Banser yg berpakaian mirip aparat hukum . 
#BubarkanBanser https://t<U+2026>",FALSE,0,NA,2018-10-30 04:41:06,FALSE,NA,"1057130248964358144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rahmatbaratie2",22,TRUE,FALSE,NA,NA
"3","RT @AnonArmy777: Wahai warga jatim dapil 1 surabaya

Ini orang yg menyuruh polisi menembak ditempat siapa saja yg membawa bendera tauhid. M<U+2026>",FALSE,0,NA,2018-10-30 04:39:56,FALSE,NA,"1057129955681652738",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nyotrek",431,TRUE,FALSE,NA,NA
"4","RT @Dody_Lukas___: PART I

<U+0001F60E><U+0001F449> Tak rela Tauhid dihina, pria Aceh ini tantang Banser adu kebal, Berani gk ya si Ikan Buntel @GPAnsor_Satu  Ng<U+2026>",FALSE,0,NA,2018-10-30 04:39:15,FALSE,NA,"1057129781236445184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Serabie",62,TRUE,FALSE,NA,NA
"5","RT @AnonArmy777: Wahai warga jatim dapil 1 surabaya

Ini orang yg menyuruh polisi menembak ditempat siapa saja yg membawa bendera tauhid. M<U+2026>",FALSE,0,NA,2018-10-30 04:37:16,FALSE,NA,"1057129285125734405",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FRomzah",431,TRUE,FALSE,NA,NA
"6","RT @AnonArmy777: Wahai warga jatim dapil 1 surabaya

Ini orang yg menyuruh polisi menembak ditempat siapa saja yg membawa bendera tauhid. M<U+2026>",FALSE,0,NA,2018-10-30 04:36:27,FALSE,NA,"1057129077407014912",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","AjengCute99",431,TRUE,FALSE,NA,NA
"7","@JayaSatrianie @harysantana @Puspen_TNI @marierteman @fadlizon @Fahrihamzah @Nurmantyo_Gatot @haikal_hassan Mending<U+2026> https://t.co/5pVJJP3dNy",FALSE,0,"JayaSatrianie",2018-10-30 04:36:08,TRUE,"1056899774442438658","1057128997652520961","885195829383806976","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Sadarudin",0,FALSE,FALSE,NA,NA
"8","@muannas_aIaidid #BubarkanBanser",FALSE,0,"muannas_aIaidid",2018-10-30 04:35:32,FALSE,"1057080041232719873","1057128846409887744","894988691977797634","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Choiriyah80",0,FALSE,FALSE,NA,NA
"9","RT @PanglimaHansip: bagi yang membela banser..pencet LIKE
bagi yang membela bendera Tauhid pencet RT #BubarkanBanser https://t.co/zdYc4O5PpG",FALSE,0,NA,2018-10-30 04:34:33,FALSE,NA,"1057128601261301761",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AndiYusuf34",639,TRUE,FALSE,NA,NA
"10","RT @AnonArmy777: Wahai warga jatim dapil 1 surabaya

Ini orang yg menyuruh polisi menembak ditempat siapa saja yg membawa bendera tauhid. M<U+2026>",FALSE,0,NA,2018-10-30 04:34:17,FALSE,NA,"1057128534450139136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","deandry",431,TRUE,FALSE,NA,NA
"11","RT @PanglimaHansip: bagi yang membela banser..pencet LIKE
bagi yang membela bendera Tauhid pencet RT #BubarkanBanser https://t.co/zdYc4O5PpG",FALSE,0,NA,2018-10-30 04:32:01,FALSE,NA,"1057127964855300096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","juandi75652837",639,TRUE,FALSE,NA,NA
"12","RT @AnonArmy777: Wahai warga jatim dapil 1 surabaya

Ini orang yg menyuruh polisi menembak ditempat siapa saja yg membawa bendera tauhid. M<U+2026>",FALSE,0,NA,2018-10-30 04:31:56,FALSE,NA,"1057127942143102976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ICHidayat",431,TRUE,FALSE,NA,NA
"13","RT @AnonArmy777: Wahai warga jatim dapil 1 surabaya

Ini orang yg menyuruh polisi menembak ditempat siapa saja yg membawa bendera tauhid. M<U+2026>",FALSE,0,NA,2018-10-30 04:31:43,FALSE,NA,"1057127885671153664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","okerockingland",431,TRUE,FALSE,NA,NA
"14","RT @RestyCayah: Hoax ! 
Ini bukan Polisi ato Tentara . Ini cuma curut2 Banser yg berpakaian mirip aparat hukum . 
#BubarkanBanser https://t<U+2026>",FALSE,0,NA,2018-10-30 04:31:34,FALSE,NA,"1057127850405330944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IyanSof56400989",22,TRUE,FALSE,NA,NA
"15","@MbahUyok Nah lo!!! Tambah Berat tuh hukuman c banser alias ban serep...  Mereka membakar bendera Tauhid,, malu don<U+2026> https://t.co/XbsRcir9pM",FALSE,0,"MbahUyok",2018-10-30 04:31:22,TRUE,"1057108656859168768","1057127797288722432","2519832906","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MutyaMutia",0,FALSE,FALSE,NA,NA
"16","RT @Dody_Lukas___: PART I

<U+0001F60E><U+0001F449> Tak rela Tauhid dihina, pria Aceh ini tantang Banser adu kebal, Berani gk ya si Ikan Buntel @GPAnsor_Satu  Ng<U+2026>",FALSE,0,NA,2018-10-30 04:31:17,FALSE,NA,"1057127779278368768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tony1454736",62,TRUE,FALSE,NA,NA
"17","RT @AnonArmy777: Wahai warga jatim dapil 1 surabaya

Ini orang yg menyuruh polisi menembak ditempat siapa saja yg membawa bendera tauhid. M<U+2026>",FALSE,0,NA,2018-10-30 04:31:02,FALSE,NA,"1057127714044358656",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","elangpamungkass",431,TRUE,FALSE,NA,NA
"18","RT @RestyCayah: Hoax ! 
Ini bukan Polisi ato Tentara . Ini cuma curut2 Banser yg berpakaian mirip aparat hukum . 
#BubarkanBanser https://t<U+2026>",FALSE,0,NA,2018-10-30 04:30:57,FALSE,NA,"1057127693924282368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AliAljabar1",22,TRUE,FALSE,NA,NA
"19","@muannas_aIaidid @messa27831074 #BubarkanBanser",FALSE,0,"muannas_aIaidid",2018-10-30 04:30:17,FALSE,"1057080041232719873","1057127525795557376","894988691977797634","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nhidayat76",0,FALSE,FALSE,NA,NA
"20","RT @AnonArmy777: Wahai warga jatim dapil 1 surabaya

Ini orang yg menyuruh polisi menembak ditempat siapa saja yg membawa bendera tauhid. M<U+2026>",FALSE,0,NA,2018-10-30 04:26:32,FALSE,NA,"1057126584031703042",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AliAljabar1",431,TRUE,FALSE,NA,NA
"21","RT @AnonArmy777: Wahai warga jatim dapil 1 surabaya

Ini orang yg menyuruh polisi menembak ditempat siapa saja yg membawa bendera tauhid. M<U+2026>",FALSE,0,NA,2018-10-30 04:26:22,FALSE,NA,"1057126542415777793",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Terserah90",431,TRUE,FALSE,NA,NA
"22","RT @romy8890: Si biang kerok @permadiaktivis #TangkapPermadiArya perusak NKRI #BubarkanBanser https://t.co/R2PbimpwTD",FALSE,0,NA,2018-10-30 04:25:56,FALSE,NA,"1057126433330409472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HansipKesiangan",248,TRUE,FALSE,NA,NA
