periode,user,n
2_Coalescence,@rembugjogja,491
3_Bureaucratization,@dodoputrabangsa,465
2_Coalescence,@killthedj,339
1_Emergence,@JogjaOraDidol,306
3_Bureaucratization,@wargaberdaya,298
2_Coalescence,@JHFcrew,249
4_Decline,@joeyakarta,184
2_Coalescence,@SID_Official,176
4_Decline,@dodoputrabangsa,169
2_Coalescence,@JRX_SID,164
1_Emergence,@JRX_SID,157
3_Bureaucratization,@UnderFireHeat,142
2_Coalescence,@mBaahPetruk,131
3_Bureaucratization,@JKT48JOGJAFC,129
1_Emergence,@GuyonWaton,127
1_Emergence,@mbahKJogja,127
4_Decline,@wargaberdaya,114
3_Bureaucratization,@GBT_YK,113
3_Bureaucratization,@JRX_SID,112
3_Bureaucratization,@killthedj,110
3_Bureaucratization,@pandu_pethoex,102
2_Coalescence,@shaggydogjogja,95
1_Emergence,@Friday_Ride,85
1_Emergence,@SID_Official,85
1_Emergence,@andreasyusak,83
1_Emergence,@killthedj,81
1_Emergence,@singoterbang,80
3_Bureaucratization,@Metro_TV,74
3_Bureaucratization,@soerahman_yk,74
1_Emergence,@IniSleman,68
3_Bureaucratization,@joeyakarta,66
3_Bureaucratization,@Jogja24Jam,63
3_Bureaucratization,@KompasTV,60
4_Decline,@pandu_pethoex,59
3_Bureaucratization,@JogjaUpdate,58
3_Bureaucratization,@enogentho,58
1_Emergence,@hanafirais,55
3_Bureaucratization,@gisetra,55
1_Emergence,@shitlicious,48
3_Bureaucratization,@laksamanajensin,47
1_Emergence,@AngrySipelebegu,44
1_Emergence,@Milal_02,44
2_Coalescence,@muhammad_trio,43
3_Bureaucratization,@officialWCX,43
1_Emergence,@nobodycorp,42
2_Coalescence,@GuyonanGondes,42
1_Emergence,@Yabsarpote,40
3_Bureaucratization,@SID_Official,40
1_Emergence,@8rianna_,37
3_Bureaucratization,@Hutama_Muchtar,37
1_Emergence,@glennfredly,35
3_Bureaucratization,@MNFSTYK,35
4_Decline,@BangArdi14,35
1_Emergence,@JogjaUpdate,33
2_Coalescence,@Gigih95s,33
1_Emergence,@MencariHaryadi,32
2_Coalescence,@area_jogja,32
3_Bureaucratization,@infojogja,32
3_Bureaucratization,@yogyapromo,32
1_Emergence,@muhammdfath,31
1_Emergence,@tribunjogja,31
1_Emergence,@yosuapratama_,31
2_Coalescence,@infojogja,31
3_Bureaucratization,@BangArdi14,31
2_Coalescence,@HERUWA,30
3_Bureaucratization,@infosenijogja,30
4_Decline,@JRX_SID,30
4_Decline,@hari_yanto98,30
1_Emergence,@fikrie,29
1_Emergence,@leoni_dewindra,29
2_Coalescence,@JogjaMedia,29
2_Coalescence,@soerahman_yk,29
3_Bureaucratization,@infobencana,29
1_Emergence,@rckprtm,28
2_Coalescence,@jah_balance,28
3_Bureaucratization,@jogjagumregah,28
3_Bureaucratization,@pasagmerapi,28
3_Bureaucratization,@votarrock,28
4_Decline,@LBHYogya,28
1_Emergence,@ilalang_zaman,27
2_Coalescence,@Jogja24Jam,27
3_Bureaucratization,@InfoPersma,27
4_Decline,@gestobyk,27
1_Emergence,@subanonim,26
2_Coalescence,@cfc_story,26
3_Bureaucratization,@Jogja_Uncover,26
3_Bureaucratization,@taufik_tfk,26
1_Emergence,@cerita_kota,25
2_Coalescence,@AnangCatur,25
3_Bureaucratization,@JHFcrew,25
3_Bureaucratization,@nabilahJKT48,25
3_Bureaucratization,@tribunjogja,25
1_Emergence,@andicahyo_,24
1_Emergence,@salma_yntnrn,24
1_Emergence,@tunggalp,24
3_Bureaucratization,@BEMFGEUGM,24
3_Bureaucratization,@MataNajwa,24
3_Bureaucratization,@Nabilaholic_JGJ,24
1_Emergence,@detikcom,23
1_Emergence,@kikiepea,23
1_Emergence,@terselubung,23
