"","date","fav_count","rep_count","ret_count","user_count","tweet_count"
"1",2013-10-07,9,2,176,60,34
"2",2013-10-08,0,0,17,16,12
"3",2013-10-09,17,61,767,731,350
"4",2013-10-10,33,145,1196,1952,895
"5",2013-10-11,42,81,658,1025,548
"6",2013-10-12,27,60,687,1101,528
"7",2013-10-13,38,77,730,715,348
"8",2013-10-14,14,52,367,684,329
"9",2013-10-15,32,33,767,525,241
"10",2013-10-16,4,8,233,262,137
"11",2013-10-17,1,12,109,264,150
"12",2013-10-18,6,24,192,264,133
"13",2013-10-19,4,7,79,193,109
"14",2013-10-20,20,36,273,260,134
"15",2013-10-21,12,21,274,232,106
"16",2013-10-22,0,3,10,112,54
"17",2013-10-23,0,5,28,71,52
"18",2013-10-24,1,9,78,73,50
"19",2013-10-25,0,3,20,29,18
"20",2013-10-26,1,2,9,32,17
"21",2013-10-27,0,1,2,36,18
"22",2013-10-28,0,1,33,51,30
"23",2013-10-29,0,4,5,64,19
"24",2013-10-30,0,0,6,21,13
"25",2013-10-31,0,2,4,28,13
"26",2013-11-01,0,0,6,21,6
"27",2013-11-02,0,0,1,16,11
"28",2013-11-03,0,1,3,27,12
"29",2013-11-04,0,1,0,7,3
"30",2013-11-05,0,0,0,39,17
"31",2013-11-06,0,0,1,6,5
"32",2013-11-07,0,0,0,9,3
"33",2013-11-08,1,9,18,81,38
"34",2013-11-09,0,1,1,23,13
"35",2013-11-10,0,0,4,13,8
"36",2013-11-11,0,1,2,22,6
"37",2013-11-12,0,0,2,3,2
"38",2013-11-13,0,0,0,2,1
"39",2013-11-14,1,8,37,19,9
"40",2013-11-15,101,42,786,375,162
"41",2013-11-16,3,4,30,66,29
"42",2013-11-17,3,3,35,60,27
"43",2013-11-18,0,1,1,11,6
"44",2013-11-19,0,3,1,33,14
"45",2013-11-20,2,1,5,32,14
"46",2013-11-21,1,2,6,20,10
"47",2013-11-22,0,0,7,36,11
"48",2013-11-23,0,0,0,6,4
"49",2013-11-24,1,0,3,4,2
"50",2013-11-25,0,0,2,5,5
"51",2013-11-26,0,0,0,5,3
"52",2013-11-27,0,0,0,12,5
"53",2013-11-28,0,0,2,14,5
"54",2013-11-29,0,0,1,23,9
"55",2013-11-30,0,0,0,1,1
"56",2013-12-01,0,0,0,6,1
"57",2013-12-02,0,0,1,8,3
"58",2013-12-03,0,0,2,5,2
"59",2013-12-04,0,1,0,11,5
"60",2013-12-05,1,0,5,4,2
"61",2013-12-06,0,1,3,15,6
"62",2013-12-07,1,1,4,10,8
"63",2013-12-08,0,1,5,13,8
"64",2013-12-09,0,0,1,4,2
"65",2013-12-10,0,0,0,3,2
"66",2013-12-11,0,0,2,8,6
"67",2013-12-12,0,0,0,5,3
"68",2013-12-13,2,0,20,16,8
"69",2013-12-14,0,0,0,4,2
"70",2013-12-17,0,1,2,12,7
"71",2013-12-18,0,0,1,2,2
"72",2013-12-19,1,0,2,11,4
"73",2013-12-20,0,0,1,10,5
"74",2013-12-21,1,0,0,2,1
"75",2013-12-22,0,0,1,6,3
"76",2013-12-23,0,0,0,2,1
"77",2013-12-24,0,0,0,8,3
"78",2013-12-25,0,0,0,9,5
"79",2013-12-26,0,2,8,7,4
"80",2013-12-27,0,0,3,8,5
"81",2013-12-28,0,1,1,18,8
"82",2013-12-29,0,1,1,4,2
"83",2013-12-30,0,1,0,9,4
"84",2013-12-31,0,0,0,5,1
"85",2014-01-01,0,0,1,9,4
"86",2014-01-02,0,0,6,11,6
"87",2014-01-03,0,0,4,10,6
"88",2014-01-05,0,1,2,12,8
"89",2014-01-06,0,0,2,14,8
"90",2014-01-07,0,1,0,9,5
"91",2014-01-08,0,0,0,2,2
"92",2014-01-09,0,0,0,5,2
"93",2014-01-11,1,1,1,4,2
"94",2014-01-12,0,0,0,1,1
"95",2014-01-13,2,6,78,4,2
"96",2014-01-14,0,0,1,9,7
"97",2014-01-15,0,0,1,2,2
"98",2014-01-16,5,0,17,25,17
"99",2014-01-17,0,0,0,2,2
"100",2014-01-18,2,0,7,9,7
"101",2014-01-19,0,0,0,2,1
"102",2014-01-20,1,1,0,4,2
"103",2014-01-21,0,0,0,2,2
"104",2014-01-22,0,1,1,17,9
"105",2014-01-23,0,0,0,1,1
"106",2014-01-24,0,0,2,6,4
"107",2014-01-25,1,0,1,4,2
"108",2014-01-26,0,0,2,2,2
"109",2014-01-27,0,0,2,1,1
"110",2014-01-28,0,0,1,2,2
"111",2014-01-29,1,1,0,7,5
"112",2014-01-30,0,0,1,7,7
"113",2014-01-31,0,0,1,7,4
"114",2014-02-02,0,0,0,2,1
"115",2014-02-03,0,1,0,11,7
"116",2014-02-04,0,0,0,1,1
"117",2014-02-05,0,1,2,10,3
"118",2014-02-06,0,0,0,5,2
"119",2014-02-07,0,0,0,1,1
"120",2014-02-10,1,6,0,63,27
"121",2014-02-11,1,10,1,71,30
"122",2014-02-12,0,0,0,3,1
"123",2014-02-13,1,6,2,9,5
"124",2014-02-16,0,0,1,1,1
"125",2014-02-17,0,0,1,4,3
"126",2014-02-19,0,0,0,1,1
"127",2014-02-21,0,0,1,2,2
"128",2014-02-23,0,0,0,5,1
"129",2014-02-24,0,1,1,4,2
"130",2014-02-25,0,1,1,3,2
"131",2014-02-26,0,1,2,3,3
"132",2014-02-27,0,0,0,2,2
"133",2014-03-01,0,0,1,3,2
"134",2014-03-02,0,2,0,1,1
"135",2014-03-03,0,0,0,4,1
"136",2014-03-04,0,0,0,2,2
"137",2014-03-05,0,0,4,6,4
"138",2014-03-06,0,0,0,1,1
"139",2014-03-10,0,0,1,2,2
"140",2014-03-13,0,0,2,2,2
"141",2014-03-14,0,0,1,1,1
"142",2014-03-16,0,0,1,13,5
"143",2014-03-23,0,1,0,3,3
"144",2014-03-24,0,0,0,1,1
"145",2014-03-26,0,0,0,2,2
"146",2014-03-27,0,0,0,5,2
"147",2014-03-28,3,1,2,4,3
"148",2014-03-30,0,0,0,5,2
"149",2014-04-02,0,0,1,2,1
"150",2014-04-06,0,0,2,6,3
